MatchId,BotType,Result,TimeMs,TotalClicks
632,RandomBot,DEFEAT,0,2
633,RandomBot,DEFEAT,0,2
634,RandomBot,DEFEAT,0,8
635,RandomBot,DEFEAT,0,6
636,RandomBot,DEFEAT,0,10
637,RandomBot,DEFEAT,0,6
638,RandomBot,DEFEAT,0,2
639,RandomBot,DEFEAT,0,8
640,RandomBot,DEFEAT,0,2
641,RandomBot,DEFEAT,0,5
642,RandomBot,DEFEAT,0,2
643,RandomBot,DEFEAT,0,6
644,RandomBot,DEFEAT,0,2
645,RandomBot,DEFEAT,0,2
646,RandomBot,DEFEAT,0,8
647,RandomBot,DEFEAT,0,4
648,RandomBot,DEFEAT,0,4
649,RandomBot,DEFEAT,0,8
650,RandomBot,DEFEAT,0,4
651,RandomBot,DEFEAT,0,3
652,RandomBot,DEFEAT,0,4
653,RandomBot,DEFEAT,0,9
654,RandomBot,DEFEAT,0,2
655,RandomBot,DEFEAT,0,3
656,RandomBot,DEFEAT,0,6
657,RandomBot,DEFEAT,0,2
658,RandomBot,DEFEAT,0,7
659,RandomBot,DEFEAT,0,10
660,RandomBot,DEFEAT,0,4
661,RandomBot,DEFEAT,0,5
662,RandomBot,DEFEAT,0,3
663,RandomBot,DEFEAT,0,3
664,RandomBot,DEFEAT,0,3
665,RandomBot,DEFEAT,0,2
666,RandomBot,DEFEAT,0,1
667,RandomBot,DEFEAT,0,3
668,RandomBot,DEFEAT,0,2
669,RandomBot,DEFEAT,0,1
670,RandomBot,DEFEAT,0,4
671,RandomBot,DEFEAT,0,2
672,RandomBot,DEFEAT,0,6
673,RandomBot,DEFEAT,0,2
674,RandomBot,DEFEAT,0,5
675,RandomBot,DEFEAT,0,3
676,RandomBot,DEFEAT,0,3
677,RandomBot,DEFEAT,0,2
678,RandomBot,DEFEAT,0,2
679,RandomBot,DEFEAT,0,5
680,RandomBot,DEFEAT,0,8
681,RandomBot,DEFEAT,0,2
682,RandomBot,DEFEAT,0,3
683,RandomBot,DEFEAT,0,2
684,RandomBot,DEFEAT,0,4
685,RandomBot,DEFEAT,0,4
686,RandomBot,DEFEAT,0,2
687,RandomBot,DEFEAT,0,2
688,RandomBot,DEFEAT,0,3
689,RandomBot,DEFEAT,0,1
690,RandomBot,DEFEAT,0,6
691,RandomBot,DEFEAT,0,3
692,RandomBot,DEFEAT,0,4
693,RandomBot,DEFEAT,0,4
694,RandomBot,DEFEAT,0,3
695,RandomBot,DEFEAT,0,2
696,RandomBot,DEFEAT,0,3
697,RandomBot,DEFEAT,0,5
698,RandomBot,DEFEAT,0,2
699,RandomBot,DEFEAT,0,1
700,RandomBot,DEFEAT,0,4
701,RandomBot,DEFEAT,0,4
702,RandomBot,DEFEAT,0,5
703,RandomBot,DEFEAT,0,9
704,RandomBot,DEFEAT,0,4
705,RandomBot,DEFEAT,0,4
706,RandomBot,DEFEAT,0,2
707,RandomBot,DEFEAT,0,5
708,RandomBot,DEFEAT,0,6
709,RandomBot,DEFEAT,0,1
710,RandomBot,DEFEAT,0,2
711,RandomBot,DEFEAT,0,5
712,RandomBot,DEFEAT,0,4
713,RandomBot,VICTORY,0,6
714,RandomBot,DEFEAT,0,6
715,RandomBot,DEFEAT,0,4
716,RandomBot,DEFEAT,0,5
717,RandomBot,DEFEAT,0,5
718,RandomBot,DEFEAT,0,2
719,RandomBot,DEFEAT,0,3
720,RandomBot,DEFEAT,0,3
721,RandomBot,DEFEAT,0,3
722,RandomBot,DEFEAT,0,3
723,RandomBot,DEFEAT,0,2
724,RandomBot,DEFEAT,0,1
725,RandomBot,DEFEAT,0,2
726,RandomBot,DEFEAT,0,8
727,RandomBot,DEFEAT,0,1
728,RandomBot,DEFEAT,0,3
729,RandomBot,DEFEAT,0,6
730,RandomBot,DEFEAT,0,7
